epoch_utc,mp_ra,mp_dec
1741554000,5.45405901095094,-0.37885032902581
1741554060,5.45421798529997,-0.378798803037343
1741554120,5.45437695115535,-0.378747268864481
1741554180,5.45453590851761,-0.378695726509122
1741554240,5.45469485738729,-0.378644175973168
1741554300,5.45485379776489,-0.378592617258518
1741554360,5.45501272965093,-0.378541050367068
1741554420,5.45517165304594,-0.378489475300719
1741554480,5.45533056795045,-0.37843789206137
1741554540,5.45548947436496,-0.378386300650918
1741554600,5.45564837229001,-0.378334701071263
1741554660,5.45580726172612,-0.378283093324303
1741554720,5.45596614267381,-0.378231477411935
1741554780,5.45612501513361,-0.378179853336058
1741554840,5.45628387910604,-0.378128221098572
1741554900,5.45644273459163,-0.378076580701372
1741554960,5.45660158159091,-0.378024932146357
1741555020,5.4567604201044,-0.377973275435424
1741555080,5.45691925013264,-0.377921610570472
1741555140,5.45707807167615,-0.377869937553397
1741555200,5.45723688473544,-0.377818256386097
1741555260,5.45739568931107,-0.377766567070467
1741555320,5.45755448540356,-0.377714869608407
1741555380,5.45771327301344,-0.377663164001813
1741555440,5.45787205214125,-0.377611450252582
1741555500,5.4580308227875,-0.377559728362609
1741555560,5.45818958495275,-0.377507998333792
1741555620,5.45834833863751,-0.377456260168027
1741555680,5.45850708384233,-0.37740451386721
1741555740,5.45866582056773,-0.377352759433238
1741555800,5.45882454881424,-0.377300996868007
1741555860,5.45898326858244,-0.377249226173413
1741555920,5.45914197987282,-0.37719744735135
1741555980,5.45930068268593,-0.377145660403715
1741556040,5.45945937702233,-0.377093865332404
1741556100,5.45961806288251,-0.377042062139312
1741556160,5.45977674026706,-0.376990250826335
1741556220,5.45993540917649,-0.376938431395368
1741556280,5.46009406961135,-0.376886603848303
1741556340,5.46025272157216,-0.376834768187038
1741556400,5.46041136505948,-0.376782924413468
1741556460,5.46057000007386,-0.376731072529487
1741556520,5.46072862661584,-0.376679212536989
1741556580,5.46088724468594,-0.37662734443787
1741556640,5.46104585428473,-0.376575468234021
1741556700,5.46120445541274,-0.37652358392734
1741556760,5.46136304807051,-0.37647169151972
1741556820,5.4615216322586,-0.376419791013053
1741556880,5.46168020797754,-0.376367882409235
1741556940,5.46183877522789,-0.376315965710159
1741557000,5.4619973340102,-0.376264040917715
1741557060,5.46215588432499,-0.376212108033805
1741557120,5.46231442617284,-0.376160167060315
1741557180,5.46247295955429,-0.37610821799914
1741557240,5.4626314844699,-0.376056260852172
1741557300,5.46279000092019,-0.376004295621306
